fault_id,fault_type,table,record_id,detail
FAULT-00042,duplicate_keys,trans,1097901,duplicated trans_id with amount changed to 4310.2
FAULT-00043,duplicate_keys,trans,170973,duplicated trans_id with amount changed to 11103.3
FAULT-00044,duplicate_keys,trans,1115474,duplicated trans_id with amount changed to 1.5
FAULT-00045,duplicate_keys,trans,2371592,duplicated trans_id with amount changed to 879.9
FAULT-00046,duplicate_keys,trans,108268,duplicated trans_id with amount changed to 4338.1
FAULT-00047,duplicate_keys,trans,1183199,duplicated trans_id with amount changed to 34402.0
FAULT-00048,duplicate_keys,trans,176502,duplicated trans_id with amount changed to 44608.3
FAULT-00049,duplicate_keys,trans,3439132,duplicated trans_id with amount changed to 249.0
FAULT-00050,duplicate_keys,trans,292282,duplicated trans_id with amount changed to 4738.6
FAULT-00051,duplicate_keys,trans,682701,duplicated trans_id with amount changed to 404.8
FAULT-00052,duplicate_keys,trans,51556,duplicated trans_id with amount changed to 18786.2
FAULT-00053,duplicate_keys,trans,1057240,duplicated trans_id with amount changed to 5766.0
FAULT-00054,duplicate_keys,trans,1295529,duplicated trans_id with amount changed to 11.5
FAULT-00055,duplicate_keys,trans,1635573,duplicated trans_id with amount changed to 4166.4
FAULT-00056,duplicate_keys,trans,516775,duplicated trans_id with amount changed to 16.6
FAULT-00057,duplicate_keys,trans,1401642,duplicated trans_id with amount changed to 32592.7
FAULT-00058,duplicate_keys,trans,565696,duplicated trans_id with amount changed to 12840.6
FAULT-00059,duplicate_keys,trans,521130,duplicated trans_id with amount changed to 120.2
FAULT-00060,duplicate_keys,trans,1050437,duplicated trans_id with amount changed to 596.0
FAULT-00061,duplicate_keys,trans,860721,duplicated trans_id with amount changed to 4.9
FAULT-00062,duplicate_keys,trans,121876,duplicated trans_id with amount changed to 17223.6
FAULT-00063,duplicate_keys,trans,535409,duplicated trans_id with amount changed to 21804.4
FAULT-00064,duplicate_keys,trans,1024180,duplicated trans_id with amount changed to 53360.0
FAULT-00065,duplicate_keys,trans,754457,duplicated trans_id with amount changed to 1345.7
FAULT-00066,duplicate_keys,trans,441277,duplicated trans_id with amount changed to 9.7
FAULT-00067,duplicate_keys,trans,819229,duplicated trans_id with amount changed to 1332.6
FAULT-00068,duplicate_keys,trans,591549,duplicated trans_id with amount changed to 15611.8
FAULT-00069,duplicate_keys,trans,681881,duplicated trans_id with amount changed to 9536.0
FAULT-00070,duplicate_keys,trans,456160,duplicated trans_id with amount changed to 10626.2
FAULT-00071,duplicate_keys,trans,3577948,duplicated trans_id with amount changed to 131.9
FAULT-00072,duplicate_keys,trans,3027140,duplicated trans_id with amount changed to 5352.4
FAULT-00073,duplicate_keys,trans,973571,duplicated trans_id with amount changed to 3203.6
FAULT-00074,duplicate_keys,trans,115765,duplicated trans_id with amount changed to 795.2
FAULT-00075,duplicate_keys,trans,706363,duplicated trans_id with amount changed to 5399.7
FAULT-00076,duplicate_keys,trans,289816,duplicated trans_id with amount changed to 6883.3
FAULT-00077,duplicate_keys,trans,2402563,duplicated trans_id with amount changed to 8284.4
FAULT-00078,duplicate_keys,trans,3535333,duplicated trans_id with amount changed to 117.3
FAULT-00079,duplicate_keys,trans,86737,duplicated trans_id with amount changed to 5213.1
FAULT-00080,duplicate_keys,trans,274921,duplicated trans_id with amount changed to 782.0
FAULT-00081,duplicate_keys,trans,132875,duplicated trans_id with amount changed to 9653.7
FAULT-00082,duplicate_keys,trans,3662806,duplicated trans_id with amount changed to 127.6
FAULT-00083,duplicate_keys,trans,1068360,duplicated trans_id with amount changed to 4535.1
FAULT-00084,duplicate_keys,trans,2466035,duplicated trans_id with amount changed to 70593.0
FAULT-00085,duplicate_keys,trans,3555095,duplicated trans_id with amount changed to 102.2
FAULT-00086,duplicate_keys,trans,2548831,duplicated trans_id with amount changed to 13617.7
FAULT-00087,duplicate_keys,trans,3609024,duplicated trans_id with amount changed to 198.8
FAULT-00088,duplicate_keys,trans,178395,duplicated trans_id with amount changed to 21270.5
FAULT-00089,duplicate_keys,trans,1344937,duplicated trans_id with amount changed to 24111.0
FAULT-00090,duplicate_keys,trans,998194,duplicated trans_id with amount changed to 3457.8
FAULT-00091,duplicate_keys,trans,994002,duplicated trans_id with amount changed to 41343.7
FAULT-00092,duplicate_keys,trans,3680320,duplicated trans_id with amount changed to 397.8
FAULT-00093,duplicate_keys,trans,1192485,duplicated trans_id with amount changed to 18.1
FAULT-00094,duplicate_keys,trans,838435,duplicated trans_id with amount changed to 7700.3
FAULT-00095,duplicate_keys,trans,1549039,duplicated trans_id with amount changed to 10.5
FAULT-00096,duplicate_keys,trans,249576,duplicated trans_id with amount changed to 8236.5
FAULT-00097,duplicate_keys,trans,764881,duplicated trans_id with amount changed to 3211.1
FAULT-00098,duplicate_keys,trans,73435,duplicated trans_id with amount changed to 20667.2
FAULT-00099,duplicate_keys,trans,1160582,duplicated trans_id with amount changed to 7414.3
FAULT-00100,duplicate_keys,trans,3640411,duplicated trans_id with amount changed to 74.3
FAULT-00101,duplicate_keys,trans,3021195,duplicated trans_id with amount changed to 17529.2
FAULT-00102,duplicate_keys,trans,2906767,duplicated trans_id with amount changed to 5258.2
FAULT-00103,duplicate_keys,trans,3561048,duplicated trans_id with amount changed to 302.9
FAULT-00104,duplicate_keys,trans,152097,duplicated trans_id with amount changed to 2659.1
FAULT-00105,duplicate_keys,trans,986856,duplicated trans_id with amount changed to 2189.1
FAULT-00106,duplicate_keys,trans,807759,duplicated trans_id with amount changed to 739.2
FAULT-00107,duplicate_keys,trans,1100632,duplicated trans_id with amount changed to 25.3
FAULT-00108,duplicate_keys,trans,555019,duplicated trans_id with amount changed to 2857.6
FAULT-00109,duplicate_keys,trans,661258,duplicated trans_id with amount changed to 2430.3
FAULT-00110,duplicate_keys,trans,590540,duplicated trans_id with amount changed to 10415.8
FAULT-00111,duplicate_keys,trans,398016,duplicated trans_id with amount changed to 13183.6
FAULT-00112,duplicate_keys,trans,3460998,duplicated trans_id with amount changed to 264.2
FAULT-00113,duplicate_keys,trans,62254,duplicated trans_id with amount changed to 8877.4
FAULT-00114,duplicate_keys,trans,827426,duplicated trans_id with amount changed to 13263.3
FAULT-00115,duplicate_keys,trans,88208,duplicated trans_id with amount changed to 15.9
FAULT-00116,duplicate_keys,trans,1302494,duplicated trans_id with amount changed to 4820.1
FAULT-00117,duplicate_keys,trans,243901,duplicated trans_id with amount changed to 8197.1
FAULT-00118,duplicate_keys,trans,221573,duplicated trans_id with amount changed to 9067.5
FAULT-00119,duplicate_keys,trans,137931,duplicated trans_id with amount changed to 39148.4
FAULT-00120,duplicate_keys,trans,165353,duplicated trans_id with amount changed to 1300.3
FAULT-00121,duplicate_keys,trans,103129,duplicated trans_id with amount changed to 2384.5
FAULT-00122,duplicate_keys,trans,1982572,duplicated trans_id with amount changed to 210.4
FAULT-00123,duplicate_keys,trans,877411,duplicated trans_id with amount changed to 4221.0
FAULT-00124,duplicate_keys,trans,132033,duplicated trans_id with amount changed to 1225.4
FAULT-00125,duplicate_keys,trans,3478781,duplicated trans_id with amount changed to 518.6
FAULT-00126,duplicate_keys,trans,741363,duplicated trans_id with amount changed to 8140.4
FAULT-00127,duplicate_keys,trans,3499978,duplicated trans_id with amount changed to 69.9
FAULT-00128,duplicate_keys,trans,522069,duplicated trans_id with amount changed to 6421.3
FAULT-00129,duplicate_keys,trans,712117,duplicated trans_id with amount changed to 11.1
FAULT-00130,duplicate_keys,trans,610689,duplicated trans_id with amount changed to 1214.3
FAULT-00131,duplicate_keys,trans,847136,duplicated trans_id with amount changed to 5379.0
FAULT-00132,duplicate_keys,trans,3608629,duplicated trans_id with amount changed to 334.0
FAULT-00133,duplicate_keys,trans,842420,duplicated trans_id with amount changed to 5309.9
FAULT-00134,duplicate_keys,trans,2586416,duplicated trans_id with amount changed to 7115.1
FAULT-00135,duplicate_keys,trans,1296495,duplicated trans_id with amount changed to 6452.0
FAULT-00136,duplicate_keys,trans,815236,duplicated trans_id with amount changed to 1307.3
FAULT-00137,duplicate_keys,trans,578452,duplicated trans_id with amount changed to 26.5
FAULT-00138,duplicate_keys,trans,418335,duplicated trans_id with amount changed to 11880.5
FAULT-00139,duplicate_keys,trans,633384,duplicated trans_id with amount changed to 4347.7
FAULT-00140,duplicate_keys,trans,3532105,duplicated trans_id with amount changed to 53.0
FAULT-00141,duplicate_keys,trans,408794,duplicated trans_id with amount changed to 3504.3
FAULT-00142,duplicate_keys,trans,392018,duplicated trans_id with amount changed to 9658.6
FAULT-00143,duplicate_keys,trans,64273,duplicated trans_id with amount changed to 9149.5
FAULT-00144,duplicate_keys,trans,265502,duplicated trans_id with amount changed to 3393.2
FAULT-00145,duplicate_keys,trans,1730807,duplicated trans_id with amount changed to 22943.7
FAULT-00146,duplicate_keys,trans,389696,duplicated trans_id with amount changed to 1273.3
FAULT-00147,duplicate_keys,trans,108667,duplicated trans_id with amount changed to 1293.2
FAULT-00148,duplicate_keys,trans,1040194,duplicated trans_id with amount changed to 5312.8
FAULT-00149,duplicate_keys,trans,3627497,duplicated trans_id with amount changed to 114.5
FAULT-00150,duplicate_keys,trans,3653248,duplicated trans_id with amount changed to 73.5
FAULT-00151,duplicate_keys,trans,1857932,duplicated trans_id with amount changed to 20.5
FAULT-00152,duplicate_keys,trans,200977,duplicated trans_id with amount changed to 660.1
FAULT-00153,duplicate_keys,trans,130762,duplicated trans_id with amount changed to 1246.4
FAULT-00154,duplicate_keys,trans,227830,duplicated trans_id with amount changed to 1353.6
FAULT-00155,duplicate_keys,trans,1643785,duplicated trans_id with amount changed to 10312.3
FAULT-00156,duplicate_keys,trans,386673,duplicated trans_id with amount changed to 25.4
FAULT-00157,duplicate_keys,trans,3619275,duplicated trans_id with amount changed to 125.2
FAULT-00158,duplicate_keys,trans,471039,duplicated trans_id with amount changed to 15.7
FAULT-00159,duplicate_keys,trans,3560457,duplicated trans_id with amount changed to 66.1
FAULT-00160,duplicate_keys,trans,24576,duplicated trans_id with amount changed to 2565.8
FAULT-00161,duplicate_keys,trans,1016553,duplicated trans_id with amount changed to 1312.4
FAULT-00162,duplicate_keys,trans,7312,duplicated trans_id with amount changed to 4173.0
FAULT-00163,duplicate_keys,trans,649502,duplicated trans_id with amount changed to 77263.9
FAULT-00164,duplicate_keys,trans,822231,duplicated trans_id with amount changed to 5236.3
FAULT-00165,duplicate_keys,trans,3466111,duplicated trans_id with amount changed to 135.0
FAULT-00166,duplicate_keys,trans,911871,duplicated trans_id with amount changed to 11.9
FAULT-00167,duplicate_keys,trans,471376,duplicated trans_id with amount changed to 4862.3
FAULT-00168,duplicate_keys,trans,449490,duplicated trans_id with amount changed to 5849.8
FAULT-00169,duplicate_keys,trans,18049,duplicated trans_id with amount changed to 1246.8
FAULT-00170,duplicate_keys,trans,992444,duplicated trans_id with amount changed to 6612.9
FAULT-00171,duplicate_keys,trans,442555,duplicated trans_id with amount changed to 3976.3
FAULT-00172,duplicate_keys,trans,795424,duplicated trans_id with amount changed to 27318.1
FAULT-00173,duplicate_keys,trans,3552676,duplicated trans_id with amount changed to 145.6
FAULT-00174,duplicate_keys,trans,3459719,duplicated trans_id with amount changed to 130.4
FAULT-00175,duplicate_keys,trans,1309261,duplicated trans_id with amount changed to 3208.8
FAULT-00176,duplicate_keys,trans,659096,duplicated trans_id with amount changed to 29810.7
FAULT-00177,duplicate_keys,trans,1002513,duplicated trans_id with amount changed to 11.6
FAULT-00178,duplicate_keys,trans,3583072,duplicated trans_id with amount changed to 182.0
FAULT-00179,duplicate_keys,trans,51449,duplicated trans_id with amount changed to 10510.6
FAULT-00180,duplicate_keys,trans,3453846,duplicated trans_id with amount changed to 2.7
FAULT-00181,duplicate_keys,trans,258052,duplicated trans_id with amount changed to 11.8
FAULT-00182,duplicate_keys,trans,366909,duplicated trans_id with amount changed to 16.6
FAULT-00183,duplicate_keys,trans,2715596,duplicated trans_id with amount changed to 25443.5
FAULT-00184,duplicate_keys,trans,496847,duplicated trans_id with amount changed to 17687.8
FAULT-00185,duplicate_keys,trans,1339460,duplicated trans_id with amount changed to 19515.6
FAULT-00186,duplicate_keys,trans,390254,duplicated trans_id with amount changed to 14.3
FAULT-00187,duplicate_keys,trans,860541,duplicated trans_id with amount changed to 5122.4
FAULT-00188,duplicate_keys,trans,3574231,duplicated trans_id with amount changed to 115.2
FAULT-00189,duplicate_keys,trans,46377,duplicated trans_id with amount changed to 15.1
FAULT-00190,duplicate_keys,trans,872588,duplicated trans_id with amount changed to 7804.8
FAULT-00191,duplicate_keys,trans,3394183,duplicated trans_id with amount changed to 1698.9
FAULT-00192,duplicate_keys,trans,1096122,duplicated trans_id with amount changed to 9858.6
FAULT-00193,duplicate_keys,trans,1427280,duplicated trans_id with amount changed to 15393.4
FAULT-00194,duplicate_keys,trans,329966,duplicated trans_id with amount changed to 62897.4
FAULT-00195,duplicate_keys,trans,539165,duplicated trans_id with amount changed to 9.5
FAULT-00196,duplicate_keys,trans,983159,duplicated trans_id with amount changed to 1256.1
FAULT-00197,duplicate_keys,trans,935953,duplicated trans_id with amount changed to 843.3
FAULT-00198,duplicate_keys,trans,3235416,duplicated trans_id with amount changed to 5002.7
FAULT-00199,duplicate_keys,trans,363700,duplicated trans_id with amount changed to 751.2
FAULT-00200,duplicate_keys,trans,3525540,duplicated trans_id with amount changed to 190.7
FAULT-00201,duplicate_keys,trans,3661187,duplicated trans_id with amount changed to 149.3
FAULT-00202,duplicate_keys,trans,211371,duplicated trans_id with amount changed to 59372.4
FAULT-00203,duplicate_keys,trans,1034618,duplicated trans_id with amount changed to 6445.5
FAULT-00204,duplicate_keys,trans,235621,duplicated trans_id with amount changed to 4069.8
FAULT-00205,duplicate_keys,trans,604396,duplicated trans_id with amount changed to 57.8
FAULT-00206,duplicate_keys,trans,1029483,duplicated trans_id with amount changed to 1652.8
FAULT-00207,duplicate_keys,trans,235430,duplicated trans_id with amount changed to 17154.7
FAULT-00208,duplicate_keys,trans,411507,duplicated trans_id with amount changed to 6768.8
FAULT-00209,duplicate_keys,trans,433835,duplicated trans_id with amount changed to 28058.1
FAULT-00210,duplicate_keys,trans,1293001,duplicated trans_id with amount changed to 10172.0
FAULT-00211,duplicate_keys,trans,3533213,duplicated trans_id with amount changed to 55.8
FAULT-00212,duplicate_keys,trans,3584473,duplicated trans_id with amount changed to 112.6
FAULT-00213,duplicate_keys,trans,591402,duplicated trans_id with amount changed to 4797.2
FAULT-00214,duplicate_keys,trans,1028767,duplicated trans_id with amount changed to 2381.8
FAULT-00215,duplicate_keys,trans,339491,duplicated trans_id with amount changed to 4276.5
FAULT-00216,duplicate_keys,trans,886046,duplicated trans_id with amount changed to 15.6
FAULT-00217,duplicate_keys,trans,163071,duplicated trans_id with amount changed to 4714.0
FAULT-00218,duplicate_keys,trans,572928,duplicated trans_id with amount changed to 59.2
FAULT-00219,duplicate_keys,trans,1176603,duplicated trans_id with amount changed to 10.1
FAULT-00220,duplicate_keys,trans,3571540,duplicated trans_id with amount changed to 118.6
FAULT-00221,duplicate_keys,trans,655912,duplicated trans_id with amount changed to 51527.4
FAULT-00222,duplicate_keys,trans,761954,duplicated trans_id with amount changed to 9.6
FAULT-00223,duplicate_keys,trans,3594288,duplicated trans_id with amount changed to 208.2
FAULT-00224,duplicate_keys,trans,257312,duplicated trans_id with amount changed to 22728.0
FAULT-00225,duplicate_keys,trans,486745,duplicated trans_id with amount changed to 2912.7
FAULT-00226,duplicate_keys,trans,54892,duplicated trans_id with amount changed to 16.2
FAULT-00227,duplicate_keys,trans,3303053,duplicated trans_id with amount changed to 43137.7
FAULT-00228,duplicate_keys,trans,523724,duplicated trans_id with amount changed to 11162.9
FAULT-00229,duplicate_keys,trans,869048,duplicated trans_id with amount changed to 118512.7
FAULT-00230,duplicate_keys,trans,3657280,duplicated trans_id with amount changed to 319.8
FAULT-00231,duplicate_keys,trans,226441,duplicated trans_id with amount changed to 232.7
FAULT-00232,duplicate_keys,trans,374953,duplicated trans_id with amount changed to 1908.3
FAULT-00233,duplicate_keys,trans,1113151,duplicated trans_id with amount changed to 847.1
FAULT-00234,duplicate_keys,trans,3575903,duplicated trans_id with amount changed to 312.6
FAULT-00235,duplicate_keys,trans,3573259,duplicated trans_id with amount changed to 197.0
FAULT-00236,duplicate_keys,trans,3658391,duplicated trans_id with amount changed to 274.1
FAULT-00237,duplicate_keys,trans,599852,duplicated trans_id with amount changed to 6391.7
FAULT-00238,duplicate_keys,trans,279190,duplicated trans_id with amount changed to 1079.2
FAULT-00239,duplicate_keys,trans,1001042,duplicated trans_id with amount changed to 814.9
FAULT-00240,duplicate_keys,trans,457197,duplicated trans_id with amount changed to 1922.2
FAULT-00241,duplicate_keys,trans,805292,duplicated trans_id with amount changed to 9.4
FAULT-00242,duplicate_keys,trans,3333338,duplicated trans_id with amount changed to 3296.0
FAULT-00243,duplicate_keys,trans,1263146,duplicated trans_id with amount changed to 950.8
FAULT-00244,duplicate_keys,trans,986142,duplicated trans_id with amount changed to 28168.3
FAULT-00245,duplicate_keys,trans,2378550,duplicated trans_id with amount changed to 26246.1
FAULT-00246,duplicate_keys,trans,1122049,duplicated trans_id with amount changed to 4185.2
FAULT-00247,duplicate_keys,trans,3600534,duplicated trans_id with amount changed to 119.2
FAULT-00248,duplicate_keys,trans,118762,duplicated trans_id with amount changed to 177.2
FAULT-00249,duplicate_keys,trans,1951212,duplicated trans_id with amount changed to 6753.7
FAULT-00250,duplicate_keys,trans,67334,duplicated trans_id with amount changed to 3479.9
FAULT-00251,duplicate_keys,trans,2301525,duplicated trans_id with amount changed to 3490.2
FAULT-00252,duplicate_keys,trans,3613529,duplicated trans_id with amount changed to 455.8
FAULT-00253,duplicate_keys,trans,448511,duplicated trans_id with amount changed to 555.7
FAULT-00254,duplicate_keys,trans,3465982,duplicated trans_id with amount changed to 316.5
FAULT-00255,duplicate_keys,trans,156128,duplicated trans_id with amount changed to 2787.1
FAULT-00256,duplicate_keys,trans,1012984,duplicated trans_id with amount changed to 14185.4
FAULT-00257,duplicate_keys,trans,779695,duplicated trans_id with amount changed to 3777.0
FAULT-00258,duplicate_keys,trans,3569544,duplicated trans_id with amount changed to 42.3
FAULT-00259,duplicate_keys,trans,67549,duplicated trans_id with amount changed to 1887.1
FAULT-00260,duplicate_keys,trans,331474,duplicated trans_id with amount changed to 37390.7
FAULT-00261,duplicate_keys,trans,932621,duplicated trans_id with amount changed to 1008.0
FAULT-00262,duplicate_keys,trans,3608881,duplicated trans_id with amount changed to 119.8
FAULT-00263,duplicate_keys,trans,65258,duplicated trans_id with amount changed to 23.6
FAULT-00264,duplicate_keys,trans,36423,duplicated trans_id with amount changed to 1138.1
FAULT-00265,duplicate_keys,trans,479940,duplicated trans_id with amount changed to 18.2
FAULT-00266,duplicate_keys,trans,910136,duplicated trans_id with amount changed to 17.5
FAULT-00267,duplicate_keys,trans,776050,duplicated trans_id with amount changed to 2695.0
FAULT-00268,duplicate_keys,trans,131576,duplicated trans_id with amount changed to 50.4
FAULT-00269,duplicate_keys,trans,430912,duplicated trans_id with amount changed to 31937.1
FAULT-00270,duplicate_keys,trans,3104327,duplicated trans_id with amount changed to 5999.9
FAULT-00271,duplicate_keys,trans,3644597,duplicated trans_id with amount changed to 282.1
FAULT-00272,duplicate_keys,trans,1170304,duplicated trans_id with amount changed to 9450.8
FAULT-00273,duplicate_keys,trans,544463,duplicated trans_id with amount changed to 13.2
FAULT-00274,duplicate_keys,trans,374486,duplicated trans_id with amount changed to 2926.5
FAULT-00275,duplicate_keys,trans,29435,duplicated trans_id with amount changed to 76.5
FAULT-00276,duplicate_keys,trans,285816,duplicated trans_id with amount changed to 1330.8
FAULT-00277,duplicate_keys,trans,1022335,duplicated trans_id with amount changed to 1826.6
FAULT-00278,duplicate_keys,trans,402470,duplicated trans_id with amount changed to 8982.8
FAULT-00279,duplicate_keys,trans,883983,duplicated trans_id with amount changed to 875.4
FAULT-00280,duplicate_keys,trans,443113,duplicated trans_id with amount changed to 2568.2
FAULT-00281,duplicate_keys,trans,90076,duplicated trans_id with amount changed to 25924.2
FAULT-00282,duplicate_keys,trans,3134893,duplicated trans_id with amount changed to 139.1
FAULT-00283,duplicate_keys,trans,952227,duplicated trans_id with amount changed to 26.5
FAULT-00284,duplicate_keys,trans,548834,duplicated trans_id with amount changed to 20596.9
FAULT-00285,duplicate_keys,trans,3614371,duplicated trans_id with amount changed to 61.4
FAULT-00286,duplicate_keys,trans,3592812,duplicated trans_id with amount changed to 239.6
FAULT-00287,duplicate_keys,trans,1414929,duplicated trans_id with amount changed to 13081.1
FAULT-00288,duplicate_keys,trans,3612335,duplicated trans_id with amount changed to 54.4
FAULT-00289,duplicate_keys,trans,1020576,duplicated trans_id with amount changed to 33939.3
FAULT-00290,duplicate_keys,trans,2393305,duplicated trans_id with amount changed to 74773.3
FAULT-00291,duplicate_keys,trans,526942,duplicated trans_id with amount changed to 4909.3
FAULT-00292,duplicate_keys,trans,764873,duplicated trans_id with amount changed to 5259.1
FAULT-00293,duplicate_keys,trans,295510,duplicated trans_id with amount changed to 3942.5
FAULT-00294,duplicate_keys,trans,3547050,duplicated trans_id with amount changed to 103.2
FAULT-00295,duplicate_keys,trans,3600156,duplicated trans_id with amount changed to 179.9
FAULT-00296,duplicate_keys,trans,3469041,duplicated trans_id with amount changed to 239.2
FAULT-00297,duplicate_keys,trans,356665,duplicated trans_id with amount changed to 15603.9
FAULT-00298,duplicate_keys,trans,994532,duplicated trans_id with amount changed to 9027.5
FAULT-00299,duplicate_keys,trans,947447,duplicated trans_id with amount changed to 11613.5
FAULT-00300,duplicate_keys,trans,748745,duplicated trans_id with amount changed to 514.5
FAULT-00301,duplicate_keys,trans,547107,duplicated trans_id with amount changed to 8454.7
FAULT-00302,duplicate_keys,trans,886351,duplicated trans_id with amount changed to 23253.9
FAULT-00303,duplicate_keys,trans,630595,duplicated trans_id with amount changed to 2666.6
FAULT-00304,duplicate_keys,trans,3651728,duplicated trans_id with amount changed to 47.1
FAULT-00305,duplicate_keys,trans,358856,duplicated trans_id with amount changed to 12170.2
FAULT-00306,duplicate_keys,trans,892553,duplicated trans_id with amount changed to 3684.2
FAULT-00307,duplicate_keys,trans,502592,duplicated trans_id with amount changed to 20.8
FAULT-00308,duplicate_keys,trans,981038,duplicated trans_id with amount changed to 10114.5
FAULT-00309,duplicate_keys,trans,3606297,duplicated trans_id with amount changed to 97.8
FAULT-00310,duplicate_keys,trans,3604394,duplicated trans_id with amount changed to 540.0
FAULT-00311,duplicate_keys,trans,991946,duplicated trans_id with amount changed to 12.0
FAULT-00312,duplicate_keys,trans,576115,duplicated trans_id with amount changed to 845.6
FAULT-00313,duplicate_keys,trans,106014,duplicated trans_id with amount changed to 2661.2
FAULT-00314,duplicate_keys,trans,289796,duplicated trans_id with amount changed to 14.8
FAULT-00315,duplicate_keys,trans,1243580,duplicated trans_id with amount changed to 1225.9
FAULT-00316,duplicate_keys,trans,1069356,duplicated trans_id with amount changed to 4610.4
FAULT-00317,duplicate_keys,trans,184204,duplicated trans_id with amount changed to 47289.9
FAULT-00318,duplicate_keys,trans,3536418,duplicated trans_id with amount changed to 279.6
FAULT-00319,duplicate_keys,trans,2434650,duplicated trans_id with amount changed to 76146.4
FAULT-00320,duplicate_keys,trans,10265,duplicated trans_id with amount changed to 634.8
FAULT-00321,duplicate_keys,trans,23129,duplicated trans_id with amount changed to 17316.3
FAULT-00322,duplicate_keys,trans,709943,duplicated trans_id with amount changed to 31263.1
FAULT-00323,duplicate_keys,trans,3333254,duplicated trans_id with amount changed to 9143.5
FAULT-00324,duplicate_keys,trans,1050854,duplicated trans_id with amount changed to 3982.9
FAULT-00325,duplicate_keys,trans,342049,duplicated trans_id with amount changed to 6789.1
FAULT-00326,duplicate_keys,trans,1100496,duplicated trans_id with amount changed to 909.4
FAULT-00327,duplicate_keys,trans,756156,duplicated trans_id with amount changed to 11456.7
FAULT-00328,duplicate_keys,trans,163091,duplicated trans_id with amount changed to 10150.6
FAULT-00329,duplicate_keys,trans,1139246,duplicated trans_id with amount changed to 28.3
FAULT-00330,duplicate_keys,trans,40813,duplicated trans_id with amount changed to 2690.9
FAULT-00331,duplicate_keys,trans,308683,duplicated trans_id with amount changed to 11534.3
FAULT-00332,duplicate_keys,trans,2729713,duplicated trans_id with amount changed to 791.6
